=== SYSTEM STATUS ===;;;;;;;
System Mode: OPEN LOOP;;;;;;;
Sensor Mode: NORMAL;;;;;;;
Manual MI: 1.000;;;;;;;
Manual Duty Cycle: 0.700;;;;;;;
POD PWM Debug: DISABLED;;;;;;;
MLBC Debug: DISABLED;;;;;;;
MLBC: STOPPED;MANUAL;Target:0.00%;Actual:0.00%;Vin:0.0V;Vout:0.0V;Iin:0.0A;Faults:0x00
====================;;;;;;;
;;;;;;;
AC Sensor initialized;;;;;;;
Configuration: 200 samples per cycle; 5 cycles per measurement;;;;;;
Total buffer size: 2000 samples (1000V + 1000I);;;;;;;
Sampling rate: 10.0 kHz (TIM3 shared with POD PWM);;;;;;;
AC Sensor started - DMA acquisition active (triggered by TIM3 at 10.0kHz);;;;;;;
DC Sensor initialized;;;;;;;
Voltage range: 0-28.0V; Current range: 0-25.0A;;;;;;
Protection thresholds: V>29.0V; I>25.0A;;;;;;
DC Sensor started - Continuous ADC acquisition active;;;;;;;
System Initialization Complete;;;;;;;
Start/Stop button pressed! Switching to: RUNNING;;;;;;;
Starting entire system...;;;;;;;
POD_PWM_Enable called with: 1 (was: 0);;;;;;;
POD PWM enabled;;;;;;;
System started successfully;;;;;;;
=== CALIBRATION MODE ACTIVATED ===;;;;;;;
Waiting for complete buffer (2000 samples over 100ms)...;;;;;;;
AC Sensor mode changed: NORMAL → CALIBRATION;;;;;;;
519;1092;1146;;;;;
520;1077;1132;;;;;
521;1015;1180;;;;;
522;979;1171;;;;;
523;965;1146;;;;;
524;955;1102;;;;;
525;957;1083;;;;;
526;933;1076;;;;;
527;907;1062;;;;;
528;881;1054;;;;;
529;873;1048;;;;;
530;860;1029;;;;;
531;852;992;;;;;
532;838;944;;;;;
533;824;901;;;;;
534;815;867;;;;;
535;805;843;;;;;
536;795;828;;;;;
537;784;807;;;;;
538;768;774;;;;;
539;761;786;;;;;
540;753;785;;;;;
541;745;798;;;;;
542;742;804;;;;;
543;738;819;;;;;
544;733;824;;;;;
545;727;830;;;;;
546;721;826;;;;;
547;726;832;;;;;
548;715;816;;;;;
549;709;841;;;;;
550;711;840;;;;;
551;715;856;;;;;
552;715;853;;;;;
553;715;861;;;;;
554;725;888;;;;;
555;738;877;;;;;
556;759;883;;;;;
557;760;900;;;;;
558;769;867;;;;;
559;777;864;;;;;
560;812;861;;;;;
561;833;860;;;;;
562;853;862;;;;;
563;860;875;;;;;
564;863;898;;;;;
565;868;908;;;;;
566;881;912;;;;;
567;905;898;;;;;
568;921;887;;;;;
569;941;1122;;;;;
570;966;1088;;;;;
571;976;1046;;;;;
572;991;1028;;;;;
573;1021;1020;;;;;
574;1025;996;;;;;
575;1053;990;;;;;
576;1065;977;;;;;
577;1074;974;;;;;
578;1099;974;;;;;
579;1117;987;;;;;
580;1137;1001;;;;;
581;1164;988;;;;;
582;1167;1003;;;;;
583;1192;1014;;;;;
584;1200;1021;;;;;
585;1235;1034;;;;;
586;1287;1019;;;;;
587;1367;1026;;;;;
588;1415;1024;;;;;
589;1423;1041;;;;;
590;1422;1068;;;;;
591;1425;855;;;;;
592;1445;923;;;;;
593;1480;992;;;;;
594;1525;1050;;;;;
595;1559;1079;;;;;
596;1583;1117;;;;;
597;1612;1148;;;;;
598;1630;1196;;;;;
599;1649;1207;;;;;
600;1686;1226;;;;;
601;1703;1236;;;;;
602;1739;1260;;;;;
603;1764;1522;;;;;
604;1791;1508;;;;;
605;1815;1478;;;;;
606;1834;1441;;;;;
607;1863;1454;;;;;
608;1886;1444;;;;;
609;1911;1442;;;;;
610;1951;1439;;;;;
611;1953;1423;;;;;
612;2002;1438;;;;;
613;2019;1454;;;;;
614;2033;1459;;;;;
615;2055;1476;;;;;
616;2067;1492;;;;;
617;2077;1504;;;;;
618;2082;1511;;;;;
619;2093;1517;;;;;
620;2109;1530;;;;;
621;2158;1536;;;;;
622;2205;1524;;;;;
623;2211;1551;;;;;
624;2219;1568;;;;;
625;2225;1598;;;;;
626;2246;1610;;;;;
627;2271;1617;;;;;
628;2291;1657;;;;;
629;2306;1639;;;;;
630;2319;1666;;;;;
631;2325;1682;;;;;
632;2337;1734;;;;;
633;2354;1794;;;;;
634;2369;1834;;;;;
635;2380;1880;;;;;
636;2383;1908;;;;;
637;2399;1937;;;;;
638;2414;1966;;;;;
639;2410;1986;;;;;
640;2419;2003;;;;;
641;2433;1986;;;;;
642;2433;1975;;;;;
643;2442;1965;;;;;
644;2452;1952;;;;;
645;2453;1960;;;;;
646;2461;1954;;;;;
647;2469;1948;;;;;
648;2459;1947;;;;;
649;2466;1925;;;;;
650;2455;1921;;;;;
651;2462;1923;;;;;
652;2465;1911;;;;;
653;2465;1912;;;;;
654;2446;1897;;;;;
655;2439;1904;;;;;
656;2415;1919;;;;;
657;2422;1926;;;;;
658;2412;1922;;;;;
659;2387;1920;;;;;
660;2354;1909;;;;;
661;2339;1909;;;;;
662;2319;1894;;;;;
663;2322;1873;;;;;
664;2310;1865;;;;;
665;2306;1848;;;;;
666;2288;1858;;;;;
667;2267;1858;;;;;
668;2250;1853;;;;;
669;2230;1849;;;;;
670;2206;1835;;;;;
671;2193;1816;;;;;
672;2175;1833;;;;;
673;2167;1832;;;;;
674;2135;1827;;;;;
675;2132;1829;;;;;
676;2107;1811;;;;;
677;2089;1791;;;;;
678;2074;1771;;;;;
679;2054;1758;;;;;
680;2039;1752;;;;;
